epoch,lr-Adam,step,train/loss_epoch,train/loss_step,val/accuracy,val/f1,val/loss,val/precision,val/recall
0,,28099,,0.23325030505657196,,,,,
,1.2003666124714863e-05,28199,,,,,,,
0,,28199,,0.1813870072364807,,,,,
,1.2003692172514251e-05,28299,,,,,,,
0,,28299,,0.20428317785263062,,,,,
,1.200371831251983e-05,28399,,,,,,,
0,,28399,,0.1651473194360733,,,,,
,1.2003744544731763e-05,28499,,,,,,,
0,,28499,,0.24781034886837006,,,,,
,1.2003770869149994e-05,28599,,,,,,,
0,,28599,,0.2363910675048828,,,,,
,1.2003797285774361e-05,28699,,,,,,,
0,,28699,,0.22678285837173462,,,,,
,1.2003823794605028e-05,28799,,,,,,,
0,,28799,,0.19585344195365906,,,,,
,1.2003850395641831e-05,28899,,,,,,,
0,,28899,,0.27496135234832764,,,,,
,1.2003877088884824e-05,28999,,,,,,,
0,,28999,,0.21977514028549194,,,,,
,1.2003903874334009e-05,29099,,,,,,,
0,,29099,,0.2469472885131836,,,,,
,1.200393075198933e-05,29199,,,,,,,
0,,29199,,0.2668270170688629,,,,,
,1.2003957721850786e-05,29299,,,,,,,
0,,29299,,0.25707700848579407,,,,,
,1.2003984783918325e-05,29399,,,,,,,
0,,29399,,0.27981770038604736,,,,,
,1.2004011938192e-05,29499,,,,,,,
0,,29499,,0.2831149101257324,,,,,
,1.2004039184671759e-05,29599,,,,,,,
0,,29599,,0.31907930970191956,,,,,
,1.2004066523357544e-05,29699,,,,,,,
0,,29699,,0.23574425280094147,,,,,
,1.2004093954249412e-05,29799,,,,,,,
0,,29799,,0.2583542466163635,,,,,
,1.2004121477347308e-05,29899,,,,,,,
0,,29899,,0.23707513511180878,,,,,
,1.2004149092651178e-05,29999,,,,,,,
0,,29999,,0.2564717233181,,,,,
,1.2004176800161075e-05,30099,,,,,,,
0,,30099,,0.22878266870975494,,,,,
,1.2004204599876946e-05,30199,,,,,,,
0,,30199,,0.2196289598941803,,,,,
,1.2004232491798737e-05,30299,,,,,,,
0,,30299,,0.2283993512392044,,,,,
,1.2004260475926502e-05,30399,,,,,,,
0,,30399,,0.18095162510871887,,,,,
,1.2004288552260186e-05,30499,,,,,,,
0,,30499,,0.24451833963394165,,,,,
,1.2004316720799736e-05,30599,,,,,,,
0,,30599,,0.25507137179374695,,,,,
,1.2004344981545205e-05,30699,,,,,,,
0,,30699,,0.1367758959531784,,,,,
,1.2004373334496539e-05,30799,,,,,,,
0,,30799,,0.18639124929904938,,,,,
,1.2004401779653685e-05,30899,,,,,,,
0,,30899,,0.28498488664627075,,,,,
,1.2004430317016695e-05,30999,,,,,,,
0,,30999,,0.21742258965969086,,,,,
,1.2004458946585572e-05,31099,,,,,,,
0,,31099,,0.1828209012746811,,,,,
,1.200448766836015e-05,31199,,,,,,,
0,,31199,,0.2268018275499344,,,,,
,1.200451648234054e-05,31299,,,,,,,
0,,31299,,0.1785595715045929,,,,,
,1.2004545388526688e-05,31399,,,,,,,
0,,31399,,0.1983344405889511,,,,,
,1.2004574386918537e-05,31499,,,,,,,
0,,31499,,0.16824594140052795,,,,,
